"Freq [GHz]","mag(S(SMA_connector_FPRFS_IP1_1,SMA_connector_FPRFS_IP1_1)) []"
1.16,0.622911880466242
1.17,0.617279970365373
1.18,0.611678959654234
1.19,0.60611272153597
1.2,0.600585096628094
1.21,0.595099890134598
1.22,0.589660869051958
1.23,0.584271759405374
1.24,0.578936243510681
1.25,0.573657957256586
1.26,0.568440487401158
1.27,0.563287368875957
1.28,0.558202082090704
1.29,0.553188050231107
1.3,0.548248636542257
1.31,0.543387141589982
1.32,0.538606800492662
1.33,0.533910780116247
1.34,0.52930217622561
1.35,0.524784010585907
1.36,0.520359228008215
1.37,0.516030693334472
1.38,0.511801188357554
1.39,0.507673408673147
1.4,0.503649960460977
1.41,0.499733357193752
1.42,0.495926016272927
1.43,0.492230255591018
1.44,0.488648290020558
1.45,0.485182227829904
1.46,0.481834067025824
1.47,0.478605691622027
1.48,0.475498867831488
1.49,0.472515240178328
1.5,0.469656327522122
1.51,0.466923518983631
1.52,0.464318069755809
1.53,0.461841096777542
1.54,0.459493574239519
1.55,0.457276328881756
1.56,0.455190035030328
1.57,0.453235209306416
1.58,0.451412204923533
1.59,0.449721205468262
1.6,0.448162218035446
1.61,0.446735065559995
1.62,0.445439378153411
1.63,0.444274583212831
1.64,0.443239894022847
1.65,0.442334296513986
1.66,0.441556533774869
1.67,0.440905087835658
1.68,0.440378158145648
1.69,0.439973636054809
1.7,0.439689074473538
1.71,0.439521651722175
1.72,0.439468128386055
1.73,0.439524795755558
1.74,0.439687414145354
1.75,0.439951139041619
1.76,0.440310432608045
1.77,0.440758957574985
1.78,0.441289449923149
1.79,0.441893566032155
1.8,0.442561699070515
1.81,0.443282758329931
1.82,0.444043903924291
1.83,0.444830227754142
1.84,0.445624369858073
1.85,0.446406057223375
1.86,0.447151549826265
1.87,0.447832976181691
1.88,0.44841753815161
1.89,0.448866562472997
1.9,0.449134374925731
1.91,0.449166973109972
1.92,0.44890047680233
1.93,0.448259342925948
1.94,0.447154348481039
1.95,0.445480373935681
1.96,0.443114067895962
1.97,0.439911549479387
1.98,0.435706417026832
1.99,0.430308489134729
2,0.42350390968115
2.01,0.415057492023154
2.02,0.404718421392889
2.03,0.392230597962532
2.04,0.377348850074131
2.05,0.359861796717535
2.06,0.339621125684904
2.07,0.316575470608398
2.08,0.290805279429704
2.09,0.26255402064678
2.1,0.232252422588179
2.11,0.200538614744792
2.12,0.168292086821446
2.13,0.136732674757993
2.14,0.107708327718421
2.15,0.0843837857768679
2.16,0.071921568461156
2.17,0.074490391778769
2.18,0.0892150823878669
2.19,0.109896157991236
2.2,0.132562579785622
2.21,0.155366126995873
2.22,0.177489383074648
2.23,0.198579078173902
2.24,0.218501278107842
2.25,0.237231292254682
2.26,0.25480003819529
2.27,0.27126593234435
2.28,0.286699348772399
2.29,0.301173742650748
2.3,0.314760511761397
2.31,0.327526032430162
2.32,0.339529981662669
2.33,0.350824416604664
2.34,0.361453285276139
2.35,0.3714521624438
2.36,0.380848077929949
2.37,0.38965935091651
2.38,0.397895373822687
2.39,0.405556309730613
2.4,0.412632682425449
2.41,0.419104851003297
2.42,0.424942374171696
2.43,0.430103285067993
2.44,0.434533317849775
2.45,0.438165154673041
2.46,0.44091779804131
2.47,0.442696220421439
2.48,0.443391500698784
2.49,0.442881723103873
2.5,0.441033981889205
2.51,0.437707890911244
2.52,0.432761019644259
2.53,0.42605663581749
2.54,0.41747399500419
2.55,0.406921149979108
2.56,0.394349852124716
2.57,0.379771624892828
2.58,0.363273611003278
2.59,0.345032495775193
2.6,0.32532486662709
2.61,0.304532878700374
2.62,0.283144944131297
2.63,0.261751901766129
2.64,0.241038910322943
2.65,0.221770980832289
2.66,0.20476474040752
2.67,0.190832119108661
2.68,0.180680884188551
2.69,0.174776972534216
2.7,0.173218025135024
2.71,0.175697306589737
