"Freq [GHz]","mag(S(SMA_connector_FPRFS_IP1_1,SMA_connector_FPRFS_IP1_1)) []"
1.65,0.830163725681411
1.66,0.828058229604737
1.67,0.825823382962295
1.68,0.823448791306946
1.69,0.820923042918832
1.7,0.818233593132213
1.71,0.815366634077381
1.72,0.812306947923536
1.73,0.80903774147658
1.74,0.805540459738786
1.75,0.801794575780962
1.76,0.797777354021459
1.77,0.793463583765843
1.78,0.788825279659459
1.79,0.783831345577772
1.8,0.778447198477393
1.81,0.772634348927685
1.82,0.766349935542934
1.83,0.759546211483781
1.84,0.752169982795008
1.85,0.744162000868157
1.86,0.735456315129816
1.87,0.725979597644481
1.88,0.715650459313396
1.89,0.704378788540065
1.9,0.692065158586194
1.91,0.678600370484266
1.92,0.663865225523658
1.93,0.647730656157338
1.94,0.630058387548418
1.95,0.610702354041447
1.96,0.589511154506814
1.97,0.566331894898868
1.98,0.541015830775633
1.99,0.513426281872824
2,0.483449345192262
2.01,0.451008002710739
2.02,0.41608038187765
2.03,0.378723403469071
2.04,0.339104426691477
2.05,0.297547303255738
2.06,0.254609630295731
2.07,0.211236860974144
2.08,0.16912080233436
2.09,0.131598115729735
2.1,0.105504672576533
2.11,0.100878373111305
2.12,0.119780251755176
2.13,0.152667780120862
2.14,0.191117949234482
2.15,0.230934255554988
2.16,0.270124610415898
2.17,0.307668388189351
2.18,0.343015397063732
2.19,0.375875617587909
2.2,0.406118594203845
2.21,0.433717495403105
2.22,0.458713754588429
2.23,0.481192729629543
2.24,0.501266207781978
2.25,0.519059671051012
2.26,0.534703090839523
2.27,0.548324405170573
2.28,0.560045037186573
2.29,0.569976949126994
2.3,0.57822083080197
2.31,0.584865108725803
2.32,0.589985535581068
2.33,0.593645181098183
2.34,0.595894696008822
2.35,0.596772761951768
2.36,0.59630667377495
2.37,0.594513028347296
2.38,0.591398517459296
2.39,0.586960843195062
2.4,0.581189793662425
2.41,0.574068536345926
2.42,0.565575206600565
2.43,0.555684890785336
2.44,0.544372127999688
2.45,0.531614082080957
2.46,0.517394567351404
2.47,0.501709148901129
2.48,0.48457158307915
2.49,0.466021919544107
2.5,0.4461366565831
2.51,0.42504142812295
2.52,0.402926793491212
2.53,0.380067749466269
2.54,0.356847431724592
2.55,0.333784712280124
2.56,0.311563123922363
2.57,0.29105311462385
2.58,0.273309240143038
2.59,0.259510079503787
2.6,0.250804877028687
2.61,0.248066621819692
2.62,0.251637890269318
2.63,0.261219562464187
2.64,0.275981760130714
2.65,0.294816552838303
2.66,0.316582952879609
2.67,0.340259056869889
2.68,0.365001936679559
2.69,0.39015090898223
2.7,0.41520599508079
2.71,0.439799758718278
2.72,0.463670462435762
2.73,0.486639110540288
2.74,0.508590676779949
