"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+8.86500000000E+008, +1.00100912344E-001, +0.00000000000E+000
+8.89250000000E+008, +1.01544914788E-001, +0.00000000000E+000
+8.92000000000E+008, +1.00614290999E-001, +0.00000000000E+000
+8.94750000000E+008, +1.02131238720E-001, +0.00000000000E+000
+8.97500000000E+008, +1.06590773979E-001, +0.00000000000E+000
+9.00250000000E+008, +1.09125044890E-001, +0.00000000000E+000
+9.03000000000E+008, +1.07957361602E-001, +0.00000000000E+000
+9.05750000000E+008, +1.07618228893E-001, +0.00000000000E+000
+9.08500000000E+008, +1.11440207506E-001, +0.00000000000E+000
+9.11250000000E+008, +1.15589687271E-001, +0.00000000000E+000
+9.14000000000E+008, +1.15933848266E-001, +0.00000000000E+000
+9.16750000000E+008, +1.14550021117E-001, +0.00000000000E+000
+9.19500000000E+008, +1.16630013666E-001, +0.00000000000E+000
+9.22250000000E+008, +1.20812742484E-001, +0.00000000000E+000
+9.25000000000E+008, +1.22331415173E-001, +0.00000000000E+000
+9.27750000000E+008, +1.20726022775E-001, +0.00000000000E+000
+9.30500000000E+008, +1.21014945174E-001, +0.00000000000E+000
+9.33250000000E+008, +1.24301976021E-001, +0.00000000000E+000
+9.36000000000E+008, +1.26408345573E-001, +0.00000000000E+000
+9.38750000000E+008, +1.25384299654E-001, +0.00000000000E+000
+9.41500000000E+008, +1.25102109214E-001, +0.00000000000E+000
+9.44250000000E+008, +1.28376650201E-001, +0.00000000000E+000
+9.47000000000E+008, +1.31632152258E-001, +0.00000000000E+000
+9.49750000000E+008, +1.31572597307E-001, +0.00000000000E+000
+9.52500000000E+008, +1.30622603172E-001, +0.00000000000E+000
+9.55250000000E+008, +1.33294816634E-001, +0.00000000000E+000
+9.58000000000E+008, +1.37245735516E-001, +0.00000000000E+000
+9.60750000000E+008, +1.37804703126E-001, +0.00000000000E+000
+9.63500000000E+008, +1.35515788019E-001, +0.00000000000E+000
+9.66250000000E+008, +1.36346584779E-001, +0.00000000000E+000
+9.69000000000E+008, +1.41106962068E-001, +0.00000000000E+000
+9.71750000000E+008, +1.44232498359E-001, +0.00000000000E+000
+9.74500000000E+008, +1.42732142763E-001, +0.00000000000E+000
+9.77250000000E+008, +1.41133025829E-001, +0.00000000000E+000
+9.80000000000E+008, +1.43363441374E-001, +0.00000000000E+000
