"Freq [GHz]","dB(S(SMA_connector_1_5mm_general1_1,SMA_connector_1_5mm_general1_1)) []"
2.41,-2.57871278189823
2.42,-2.79807977307517
2.43,-3.05130788890329
2.44,-3.34544260213539
2.45,-3.68935728489064
2.46,-4.09433235533957
2.47,-4.57486515859084
2.48,-5.14983460346912
2.49,-5.84423762620256
2.5,-6.69189877811746
2.51,-7.73993438147529
2.52,-9.05655607702086
2.53,-10.7454280769798
2.54,-12.9718464158025
2.55,-15.9912917820355
2.56,-19.8768047153403
2.57,-21.5767396415722
2.58,-18.1450616275406
2.59,-14.6243198119934
2.6,-12.0382614769128
2.61,-10.1314499553644
2.62,-8.69124097518574
2.63,-7.58572527654299
2.64,-6.7312436634344
2.65,-6.07233522002464
2.66,-5.57107687757088
2.67,-5.20129193590923
2.68,-4.94526848558405
2.69,-4.79184608719981
2.7,-4.73530538493465
2.71,-4.77475912958331
2.72,-4.91384914878478
2.73,-5.1605558125428
2.74,-5.52681140682694
2.75,-6.02728534908197
2.76,-6.67594510558978
2.77,-7.47731767223491
2.78,-8.40629285674127
2.79,-9.36833692771952
2.8,-10.1501739852543
2.81,-10.4497595728022
2.82,-10.1004690182668
2.83,-9.25474986913626
2.84,-8.2098471425124
2.85,-7.17910020540254
2.86,-6.2570296664858
2.87,-5.46778884058467
2.88,-4.80513870123061
2.89,-4.25266527568997
2.9,-3.79235013355308
2.91,-3.40775767637083
2.92,-3.08494620537863
2.93,-2.81247910285477
2.94,-2.58112243830799
2.95,-2.38347082035729
2.96,-2.21359478428072
2.97,-2.06673976284106
2.98,-1.93908072092451
2.99,-1.82752683993437
3,-1.72956791200051
3.01,-1.64315420308114
3.02,-1.56660263889703
3.03,-1.49852347728497
3.04,-1.4377628470809
3.05,-1.38335755849665
3.06,-1.33449941277941
3.07,-1.29050688253426
3.08,-1.25080253021393
3.09,-1.21489491173784
3.1,-1.18236400136736
3.11,-1.1528493941069
3.12,-1.1260407096441
3.13,-1.10166974992299
3.14,-1.07950406053098
3.15,-1.05934162146313
3.16,-1.04100645098925
3.17,-1.02434495141621
3.18,-1.00922286061015
3.19,-0.995522700563751
3.2,-0.983141635830461
3.21,-0.971989671641993
3.22,-0.961988135002611
3.23,-0.953068392790522
3.24,-0.945170769496725
3.25,-0.938243634154615
3.26,-0.932242631618048
3.27,-0.927130037911625
3.28,-0.922874223119626
3.29,-0.91944920837464
3.3,-0.916834306085942
3.31,-0.915013834722289
3.32,-0.913976901319743
