"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.13500000000E+008, -4.35562897762E+000, +0.00000000000E+000
+4.16250000000E+008, -4.41549349472E+000, +0.00000000000E+000
+4.19000000000E+008, -4.47834424046E+000, +0.00000000000E+000
+4.21750000000E+008, -4.54380724546E+000, +0.00000000000E+000
+4.24500000000E+008, -4.61243782444E+000, +0.00000000000E+000
+4.27250000000E+008, -4.68413164986E+000, +0.00000000000E+000
+4.30000000000E+008, -4.75994320671E+000, +0.00000000000E+000
+4.32750000000E+008, -4.84022350976E+000, +0.00000000000E+000
+4.35500000000E+008, -4.92599448183E+000, +0.00000000000E+000
+4.38250000000E+008, -5.01769601123E+000, +0.00000000000E+000
+4.41000000000E+008, -5.11538641811E+000, +0.00000000000E+000
+4.43750000000E+008, -5.22077100896E+000, +0.00000000000E+000
+4.46500000000E+008, -5.33474546043E+000, +0.00000000000E+000
+4.49250000000E+008, -5.45855958640E+000, +0.00000000000E+000
+4.52000000000E+008, -5.59189082408E+000, +0.00000000000E+000
+4.54750000000E+008, -5.73551701549E+000, +0.00000000000E+000
+4.57500000000E+008, -5.89022237364E+000, +0.00000000000E+000
+4.60250000000E+008, -6.05591730137E+000, +0.00000000000E+000
+4.63000000000E+008, -6.23107596122E+000, +0.00000000000E+000
+4.65750000000E+008, -6.41569009171E+000, +0.00000000000E+000
+4.68500000000E+008, -6.61119793954E+000, +0.00000000000E+000
+4.71250000000E+008, -6.81859977262E+000, +0.00000000000E+000
+4.74000000000E+008, -7.03763296821E+000, +0.00000000000E+000
+4.76750000000E+008, -7.26878494537E+000, +0.00000000000E+000
+4.79500000000E+008, -7.51210961198E+000, +0.00000000000E+000
+4.82250000000E+008, -7.76689454800E+000, +0.00000000000E+000
+4.85000000000E+008, -8.03231278426E+000, +0.00000000000E+000
+4.87750000000E+008, -8.30872115903E+000, +0.00000000000E+000
+4.90500000000E+008, -8.59611903878E+000, +0.00000000000E+000
+4.93250000000E+008, -8.89277745120E+000, +0.00000000000E+000
+4.96000000000E+008, -9.19928087759E+000, +0.00000000000E+000
+4.98750000000E+008, -9.51547760680E+000, +0.00000000000E+000
+5.01500000000E+008, -9.84167224004E+000, +0.00000000000E+000
+5.04250000000E+008, -1.01783237167E+001, +0.00000000000E+000
+5.07000000000E+008, -1.05224578327E+001, +0.00000000000E+000
+5.09750000000E+008, -1.08715751237E+001, +0.00000000000E+000
+5.12500000000E+008, -1.12205726933E+001, +0.00000000000E+000
+5.15250000000E+008, -1.15662963869E+001, +0.00000000000E+000
+5.18000000000E+008, -1.19045612791E+001, +0.00000000000E+000
+5.20750000000E+008, -1.22329051630E+001, +0.00000000000E+000
+5.23500000000E+008, -1.25488854257E+001, +0.00000000000E+000
+5.26250000000E+008, -1.28465574906E+001, +0.00000000000E+000
+5.29000000000E+008, -1.31236036915E+001, +0.00000000000E+000
+5.31750000000E+008, -1.33772528415E+001, +0.00000000000E+000
+5.34500000000E+008, -1.36072044040E+001, +0.00000000000E+000
+5.37250000000E+008, -1.38104408722E+001, +0.00000000000E+000
+5.40000000000E+008, -1.39863474561E+001, +0.00000000000E+000
+5.42750000000E+008, -1.41337576631E+001, +0.00000000000E+000
+5.45500000000E+008, -1.42518068847E+001, +0.00000000000E+000
+5.48250000000E+008, -1.43391583463E+001, +0.00000000000E+000
+5.51000000000E+008, -1.43957207933E+001, +0.00000000000E+000
+5.53750000000E+008, -1.44221895037E+001, +0.00000000000E+000
+5.56500000000E+008, -1.44170956368E+001, +0.00000000000E+000
+5.59250000000E+008, -1.43791174803E+001, +0.00000000000E+000
+5.62000000000E+008, -1.43079201686E+001, +0.00000000000E+000
+5.64750000000E+008, -1.42021278768E+001, +0.00000000000E+000
+5.67500000000E+008, -1.40598978881E+001, +0.00000000000E+000
+5.70250000000E+008, -1.38800717990E+001, +0.00000000000E+000
+5.73000000000E+008, -1.36610869294E+001, +0.00000000000E+000
+5.75750000000E+008, -1.34057082108E+001, +0.00000000000E+000
+5.78500000000E+008, -1.31173373970E+001, +0.00000000000E+000
+5.81250000000E+008, -1.28001818196E+001, +0.00000000000E+000
+5.84000000000E+008, -1.24589187009E+001, +0.00000000000E+000
+5.86750000000E+008, -1.20993316743E+001, +0.00000000000E+000
+5.89500000000E+008, -1.17246918412E+001, +0.00000000000E+000
+5.92250000000E+008, -1.13382058190E+001, +0.00000000000E+000
+5.95000000000E+008, -1.09456328666E+001, +0.00000000000E+000
+5.97750000000E+008, -1.05501060754E+001, +0.00000000000E+000
+6.00500000000E+008, -1.01561235801E+001, +0.00000000000E+000
+6.03250000000E+008, -9.76495043360E+000, +0.00000000000E+000
+6.06000000000E+008, -9.37899119464E+000, +0.00000000000E+000
+6.08750000000E+008, -8.99834940809E+000, +0.00000000000E+000
+6.11500000000E+008, -8.62457240304E+000, +0.00000000000E+000
+6.14250000000E+008, -8.25824785534E+000, +0.00000000000E+000
+6.17000000000E+008, -7.90055394188E+000, +0.00000000000E+000
+6.19750000000E+008, -7.55261281034E+000, +0.00000000000E+000
+6.22500000000E+008, -7.21486768452E+000, +0.00000000000E+000
+6.25250000000E+008, -6.88792381270E+000, +0.00000000000E+000
+6.28000000000E+008, -6.57380119325E+000, +0.00000000000E+000
+6.30750000000E+008, -6.27345270850E+000, +0.00000000000E+000
+6.33500000000E+008, -5.98780955594E+000, +0.00000000000E+000
+6.36250000000E+008, -5.71821261495E+000, +0.00000000000E+000
+6.39000000000E+008, -5.46515949150E+000, +0.00000000000E+000
+6.41750000000E+008, -5.22959890205E+000, +0.00000000000E+000
+6.44500000000E+008, -5.01172795080E+000, +0.00000000000E+000
+6.47250000000E+008, -4.81023057492E+000, +0.00000000000E+000
+6.50000000000E+008, -4.62408882316E+000, +0.00000000000E+000
+6.52750000000E+008, -4.45189370145E+000, +0.00000000000E+000
+6.55500000000E+008, -4.29253397620E+000, +0.00000000000E+000
+6.58250000000E+008, -4.14468901038E+000, +0.00000000000E+000
+6.61000000000E+008, -4.00729101842E+000, +0.00000000000E+000
+6.63750000000E+008, -3.87970241076E+000, +0.00000000000E+000
+6.66500000000E+008, -3.76092243318E+000, +0.00000000000E+000
+6.69250000000E+008, -3.65011888526E+000, +0.00000000000E+000
+6.72000000000E+008, -3.54636235471E+000, +0.00000000000E+000
+6.74750000000E+008, -3.44853321465E+000, +0.00000000000E+000
+6.77500000000E+008, -3.35614226017E+000, +0.00000000000E+000
+6.80250000000E+008, -3.26847204385E+000, +0.00000000000E+000
+6.83000000000E+008, -3.18486808442E+000, +0.00000000000E+000
+6.85750000000E+008, -3.10494907305E+000, +0.00000000000E+000
+6.88500000000E+008, -3.02827510243E+000, +0.00000000000E+000
+6.91250000000E+008, -2.95459186794E+000, +0.00000000000E+000
+6.94000000000E+008, -2.88401198878E+000, +0.00000000000E+000
