"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.36500000000E+008, -4.01064854293E+000, +0.00000000000E+000
+3.39250000000E+008, -4.06081395880E+000, +0.00000000000E+000
+3.42000000000E+008, -4.11282404498E+000, +0.00000000000E+000
+3.44750000000E+008, -4.16650804699E+000, +0.00000000000E+000
+3.47500000000E+008, -4.22183153683E+000, +0.00000000000E+000
+3.50250000000E+008, -4.27863927875E+000, +0.00000000000E+000
+3.53000000000E+008, -4.33697194881E+000, +0.00000000000E+000
+3.55750000000E+008, -4.39625928546E+000, +0.00000000000E+000
+3.58500000000E+008, -4.45677502268E+000, +0.00000000000E+000
+3.61250000000E+008, -4.51849770730E+000, +0.00000000000E+000
+3.64000000000E+008, -4.58141861160E+000, +0.00000000000E+000
+3.66750000000E+008, -4.64585016755E+000, +0.00000000000E+000
+3.69500000000E+008, -4.71165119681E+000, +0.00000000000E+000
+3.72250000000E+008, -4.77858812075E+000, +0.00000000000E+000
+3.75000000000E+008, -4.84648115561E+000, +0.00000000000E+000
+3.77750000000E+008, -4.91537103259E+000, +0.00000000000E+000
+3.80500000000E+008, -4.98491812148E+000, +0.00000000000E+000
+3.83250000000E+008, -5.05529908130E+000, +0.00000000000E+000
+3.86000000000E+008, -5.12646271280E+000, +0.00000000000E+000
+3.88750000000E+008, -5.19821626349E+000, +0.00000000000E+000
+3.91500000000E+008, -5.27071795461E+000, +0.00000000000E+000
+3.94250000000E+008, -5.34414296133E+000, +0.00000000000E+000
+3.97000000000E+008, -5.41856648465E+000, +0.00000000000E+000
+3.99750000000E+008, -5.49419950085E+000, +0.00000000000E+000
+4.02500000000E+008, -5.57139026518E+000, +0.00000000000E+000
+4.05250000000E+008, -5.65006148974E+000, +0.00000000000E+000
+4.08000000000E+008, -5.72993342756E+000, +0.00000000000E+000
+4.10750000000E+008, -5.81128043571E+000, +0.00000000000E+000
+4.13500000000E+008, -5.89345605406E+000, +0.00000000000E+000
+4.16250000000E+008, -5.97602931986E+000, +0.00000000000E+000
+4.19000000000E+008, -6.05871851121E+000, +0.00000000000E+000
+4.21750000000E+008, -6.14056361050E+000, +0.00000000000E+000
+4.24500000000E+008, -6.22186826579E+000, +0.00000000000E+000
+4.27250000000E+008, -6.30164241039E+000, +0.00000000000E+000
+4.30000000000E+008, -6.38005990701E+000, +0.00000000000E+000
+4.32750000000E+008, -6.45704032270E+000, +0.00000000000E+000
+4.35500000000E+008, -6.53261908695E+000, +0.00000000000E+000
+4.38250000000E+008, -6.60689209486E+000, +0.00000000000E+000
+4.41000000000E+008, -6.67991439732E+000, +0.00000000000E+000
+4.43750000000E+008, -6.75242458195E+000, +0.00000000000E+000
+4.46500000000E+008, -6.82415095460E+000, +0.00000000000E+000
+4.49250000000E+008, -6.89534774880E+000, +0.00000000000E+000
+4.52000000000E+008, -6.96607793417E+000, +0.00000000000E+000
+4.54750000000E+008, -7.03643595155E+000, +0.00000000000E+000
+4.57500000000E+008, -7.10678343268E+000, +0.00000000000E+000
+4.60250000000E+008, -7.17706507339E+000, +0.00000000000E+000
+4.63000000000E+008, -7.24789562463E+000, +0.00000000000E+000
+4.65750000000E+008, -7.31966421094E+000, +0.00000000000E+000
+4.68500000000E+008, -7.39305782916E+000, +0.00000000000E+000
+4.71250000000E+008, -7.46875221050E+000, +0.00000000000E+000
+4.74000000000E+008, -7.54717794816E+000, +0.00000000000E+000
+4.76750000000E+008, -7.62952003721E+000, +0.00000000000E+000
+4.79500000000E+008, -7.71584158011E+000, +0.00000000000E+000
+4.82250000000E+008, -7.80741322375E+000, +0.00000000000E+000
+4.85000000000E+008, -7.90479328267E+000, +0.00000000000E+000
+4.87750000000E+008, -8.00896149561E+000, +0.00000000000E+000
+4.90500000000E+008, -8.12069342892E+000, +0.00000000000E+000
+4.93250000000E+008, -8.24072325874E+000, +0.00000000000E+000
+4.96000000000E+008, -8.37079278674E+000, +0.00000000000E+000
+4.98750000000E+008, -8.51168577325E+000, +0.00000000000E+000
+5.01500000000E+008, -8.66473142230E+000, +0.00000000000E+000
+5.04250000000E+008, -8.83026904261E+000, +0.00000000000E+000
+5.07000000000E+008, -9.00871651509E+000, +0.00000000000E+000
+5.09750000000E+008, -9.20043334109E+000, +0.00000000000E+000
+5.12500000000E+008, -9.40416727954E+000, +0.00000000000E+000
+5.15250000000E+008, -9.61852619512E+000, +0.00000000000E+000
+5.18000000000E+008, -9.84026350735E+000, +0.00000000000E+000
+5.20750000000E+008, -1.00659533177E+001, +0.00000000000E+000
+5.23500000000E+008, -1.02912849794E+001, +0.00000000000E+000
+5.26250000000E+008, -1.05114053838E+001, +0.00000000000E+000
+5.29000000000E+008, -1.07229889858E+001, +0.00000000000E+000
+5.31750000000E+008, -1.09217880084E+001, +0.00000000000E+000
+5.34500000000E+008, -1.11057407114E+001, +0.00000000000E+000
+5.37250000000E+008, -1.12730172855E+001, +0.00000000000E+000
+5.40000000000E+008, -1.14231793501E+001, +0.00000000000E+000
+5.42750000000E+008, -1.15556831805E+001, +0.00000000000E+000
+5.45500000000E+008, -1.16695411899E+001, +0.00000000000E+000
+5.48250000000E+008, -1.17641000399E+001, +0.00000000000E+000
+5.51000000000E+008, -1.18375351328E+001, +0.00000000000E+000
+5.53750000000E+008, -1.18894372395E+001, +0.00000000000E+000
+5.56500000000E+008, -1.19187955770E+001, +0.00000000000E+000
+5.59250000000E+008, -1.19251160311E+001, +0.00000000000E+000
+5.62000000000E+008, -1.19080157530E+001, +0.00000000000E+000
+5.64750000000E+008, -1.18658683901E+001, +0.00000000000E+000
+5.67500000000E+008, -1.17984605902E+001, +0.00000000000E+000
+5.70250000000E+008, -1.17046513763E+001, +0.00000000000E+000
+5.73000000000E+008, -1.15839886952E+001, +0.00000000000E+000
+5.75750000000E+008, -1.14361062097E+001, +0.00000000000E+000
+5.78500000000E+008, -1.12612016546E+001, +0.00000000000E+000
+5.81250000000E+008, -1.10606716306E+001, +0.00000000000E+000
+5.84000000000E+008, -1.08369724638E+001, +0.00000000000E+000
+5.86750000000E+008, -1.05936325654E+001, +0.00000000000E+000
+5.89500000000E+008, -1.03346864514E+001, +0.00000000000E+000
+5.92250000000E+008, -1.00650267589E+001, +0.00000000000E+000
+5.95000000000E+008, -9.78980525802E+000, +0.00000000000E+000
+5.97750000000E+008, -9.51256661819E+000, +0.00000000000E+000
+6.00500000000E+008, -9.23714991606E+000, +0.00000000000E+000
+6.03250000000E+008, -8.96524174109E+000, +0.00000000000E+000
+6.06000000000E+008, -8.69794889508E+000, +0.00000000000E+000
+6.08750000000E+008, -8.43512888457E+000, +0.00000000000E+000
+6.11500000000E+008, -8.17674613488E+000, +0.00000000000E+000
+6.14250000000E+008, -7.92336948856E+000, +0.00000000000E+000
+6.17000000000E+008, -7.67555919212E+000, +0.00000000000E+000
+6.19750000000E+008, -7.43478398453E+000, +0.00000000000E+000
+6.22500000000E+008, -7.20172811018E+000, +0.00000000000E+000
+6.25250000000E+008, -6.97667730277E+000, +0.00000000000E+000
+6.28000000000E+008, -6.76010213020E+000, +0.00000000000E+000
+6.30750000000E+008, -6.55211114624E+000, +0.00000000000E+000
+6.33500000000E+008, -6.35338568082E+000, +0.00000000000E+000
+6.36250000000E+008, -6.16346057266E+000, +0.00000000000E+000
+6.39000000000E+008, -5.98236632553E+000, +0.00000000000E+000
+6.41750000000E+008, -5.81003515907E+000, +0.00000000000E+000
+6.44500000000E+008, -5.64660432647E+000, +0.00000000000E+000
+6.47250000000E+008, -5.49168473838E+000, +0.00000000000E+000
+6.50000000000E+008, -5.34499934977E+000, +0.00000000000E+000
+6.52750000000E+008, -5.20574081994E+000, +0.00000000000E+000
+6.55500000000E+008, -5.07364863838E+000, +0.00000000000E+000
+6.58250000000E+008, -4.94811766990E+000, +0.00000000000E+000
+6.61000000000E+008, -4.82863960084E+000, +0.00000000000E+000
+6.63750000000E+008, -4.71471318399E+000, +0.00000000000E+000
+6.66500000000E+008, -4.60608090046E+000, +0.00000000000E+000
+6.69250000000E+008, -4.50244714527E+000, +0.00000000000E+000
+6.72000000000E+008, -4.40374576195E+000, +0.00000000000E+000
+6.74750000000E+008, -4.30950079472E+000, +0.00000000000E+000
+6.77500000000E+008, -4.21958534077E+000, +0.00000000000E+000
+6.80250000000E+008, -4.13407765057E+000, +0.00000000000E+000
+6.83000000000E+008, -4.05255265196E+000, +0.00000000000E+000
+6.85750000000E+008, -3.97485244794E+000, +0.00000000000E+000
+6.88500000000E+008, -3.90057695809E+000, +0.00000000000E+000
+6.91250000000E+008, -3.82957673684E+000, +0.00000000000E+000
+6.94000000000E+008, -3.76195909832E+000, +0.00000000000E+000
+6.96750000000E+008, -3.69764583837E+000, +0.00000000000E+000
+6.99500000000E+008, -3.63653468890E+000, +0.00000000000E+000
+7.02250000000E+008, -3.57860808286E+000, +0.00000000000E+000
+7.05000000000E+008, -3.52382288579E+000, +0.00000000000E+000
+7.07750000000E+008, -3.47207623831E+000, +0.00000000000E+000
+7.10500000000E+008, -3.42344011400E+000, +0.00000000000E+000
+7.13250000000E+008, -3.37744083596E+000, +0.00000000000E+000
+7.16000000000E+008, -3.33425358959E+000, +0.00000000000E+000
+7.18750000000E+008, -3.29339688394E+000, +0.00000000000E+000
+7.21500000000E+008, -3.25475578429E+000, +0.00000000000E+000
+7.24250000000E+008, -3.21811403408E+000, +0.00000000000E+000
+7.27000000000E+008, -3.18330859989E+000, +0.00000000000E+000
+7.29750000000E+008, -3.15021576916E+000, +0.00000000000E+000
+7.32500000000E+008, -3.11876449735E+000, +0.00000000000E+000
+7.35250000000E+008, -3.08883215475E+000, +0.00000000000E+000
+7.38000000000E+008, -3.06041501348E+000, +0.00000000000E+000
+7.40750000000E+008, -3.03347664833E+000, +0.00000000000E+000
+7.43500000000E+008, -3.00813058188E+000, +0.00000000000E+000
+7.46250000000E+008, -2.98404812978E+000, +0.00000000000E+000
+7.49000000000E+008, -2.96124181704E+000, +0.00000000000E+000
+7.51750000000E+008, -2.93943455570E+000, +0.00000000000E+000
+7.54500000000E+008, -2.91872945909E+000, +0.00000000000E+000
+7.57250000000E+008, -2.89893480598E+000, +0.00000000000E+000
+7.60000000000E+008, -2.87997624217E+000, +0.00000000000E+000
+7.62750000000E+008, -2.86165222142E+000, +0.00000000000E+000
